R0|k|cases
3.795561673644937|0.4090718721597406|[1, 2, 3, 4, 4, 6, 8, 11, 13, 14, 15, 20, 24, 27, 34, 39, 46, 51, 61]
4.722812374920002|0.1176379396041958|[1, 4, 6, 6, 7, 7, 7, 7, 7, 8, 9, 10, 13, 16, 18, 22, 25, 29, 31]
1.2760429908331838|0.48061438234028964|None
2.290611349437816|0.27920357216663205|[1, 1, 2, 4, 6, 10, 14, 22, 33, 47, 59, 82, 108, 149, 204, 295, 398, 566, 750]
3.0653108923850727|0.5931843304728327|[1, 1, 2, 2, 3, 3, 3, 4, 6, 10, 12, 16, 21, 27, 36, 49, 58, 72, 94]
3.6851445426429303|0.47934091080040786|[1, 1, 3, 5, 6, 7, 8, 9, 11, 13, 19, 23, 36, 40, 49, 62, 86, 103, 139]
1.2669828288796734|0.3904974119504351|None
4.5859659128280414|0.48279523996839213|[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
3.7661689309522206|0.3929024538846162|[1, 1, 2, 2, 2, 2, 5, 5, 6, 10, 11, 14, 16, 17, 22, 25, 33, 40, 45]
2.286236816722438|0.5740638370104482|[1, 1, 1, 1, 2, 2, 2, 5, 7, 7, 8, 11, 17, 24, 30, 34, 47, 71, 86]
2.3368712394480546|0.2936745394848107|[1, 2, 3, 3, 5, 5, 12, 16, 22, 33, 52, 79, 111, 160, 230, 321, 447, 642, 933]
4.205959349185919|0.5792788034701667|[1, 2, 2, 2, 3, 4, 4, 4, 5, 7, 7, 10, 12, 13, 13, 15, 17, 20, 25]
1.371108131556916|0.5923561322875065|None
2.0201039046043503|0.4509491574678488|[1, 1, 1, 3, 3, 3, 5, 6, 7, 10, 20, 33, 42, 55, 78, 118, 161, 242, 353]
4.0082267848121305|0.4944773981905183|[1, 1, 1, 1, 1, 3, 5, 6, 8, 8, 10, 12, 13, 17, 18, 20, 20, 30, 32]
2.4864244615836513|0.39337302306557553|[1, 1, 1, 1, 1, 1, 1, 1, 2, 4, 5, 7, 10, 12, 15, 21, 31, 41, 52]
2.2032496616738246|0.18956928809594073|[1, 1, 2, 3, 3, 5, 6, 8, 11, 15, 18, 22, 24, 35, 53, 71, 89, 107, 140]
3.672221728674129|0.171920712137737|[1, 2, 4, 4, 5, 9, 12, 15, 19, 20, 24, 29, 34, 40, 47, 54, 71, 90, 117]
1.3320228433381587|0.27670598984502115|None
1.3410686739234081|0.46922513722317827|[1, 1, 1, 1, 1, 2, 6, 9, 16, 29, 54, 92, 178, 318, 516, 903, 1543, 2609, 4519]
2.9941496639644516|0.4439945784582633|[1, 1, 2, 2, 2, 2, 4, 4, 4, 4, 5, 7, 7, 8, 9, 11, 16, 19, 29]
